1036 Live Seafood
106 Nasi Lemak
118 Hot & Cold Dessert
123 Eating House
126 Eating House
126 Veg Rice
128 Fish Porridge
132 Traditional Teochew Noodle
133 Penang Authentic
136 Hong Kong Street Fish Head Steamboat
139 Hainan Chicken Rice
163 Fish & Chicken Porridge
21 Seafood
23 Jumpin
26 Carrot Cake
28 Niang Dou Fu
29 Delights
2nd Kitchen
2nd Mini Steamboat Delight
3 Barks Cafe
328 Katong Laksa
333 Bak Kut Teh
363 Katong Laksa
365 Fruit Juice & Smoothies
4 Fingers Crispy Chicken
47 Kolo
5 Little Bears
69 Cold Soya Beancurd
69 Kallang Bahru
71 Lor Mee
786 Char Kway Teow
7star Restaurant
8 Degrees Taiwanese Bistro
8 Korean BBQ
8 Stanley Street
834 Eating House
85 Chicken Rice
9 Goubuli
93 Wu Xiang Xia Bing
99 Buona Vista Kitchen
A Chu Soya Bean
A One Claypot House
AAA Pancake
AB & ABC Restaurant
ABC Maju Restaurant
Aashiq Restaurant
Abdhus Salam Rojak
Aburiya
Acid Bar
Adam's Indian Rojak
Afandi Hawa & Family
Afghanistan Family Restaurant
Ah Chuan Fried Oyster Omelette
Ah Eng Hor Fun
Ah Guan Mee Pok
Ah Hak Bak Kut Teh
Ah Hock Fried Hokkien Noodles
Ah Hoe Mee Pok
Ah Hoi's Kitchen
Ah Kow Mushroom Minced Pork Mee
Ah Mei Cafe
Ah Seah Teochew Porridge
Ah Seng Braised Duck Rice
Ah Soon Pig Organ Soup
Ah Wah Rojak
Ah Xi Prawn Crackers
Ah Yong Cooked Food
Ahsia Food Stall
Aji-ichi
Ajisen Gourmet Town
Ajisen Ramen
Ajmeer Muslim Corner
Akanoya Robatayaki
Akashabu
Akashi Japanese Restaurant
Akbar 24 Hours Restaurant
Al Afrose Restaurant
Al Amaan Restaurant
Al Yusra
Al-Amin Indian Muslim Food
Alan Seafood Singapore
Albert Cafe & Restaurant
Alex Poon
Alfa Cafe
Alhambra Satay
Ali Fatimah Food Stall
Ali Khan Restaurant
Ali Nachia Briyani Dam
Ali Shan Curry Fish Head
Ali's Corner
Alif Restaurant
Alimah's Kitchen
Alina's Kitchen
Alliance Kitchen
Alliance Seafood
Aloha Poke
Alrahman Kitchen
Alsalam Restaurant
Amaravati
Amat Satay Stall
Amazing Braised Duck Rice
Ameen Makan House
Amigo
Aminah Family Food Corner
Amoy Street Famous 16 Prawn Noodle
Ampang Niang Tou Fu
Ananas Cafe
Ananda Bhavan
Andhra Curry
Andhra Kitchen
Andong Zzimdak
Ang Mo Kio 107 Carrot Cake
Ang Mo Kio Curry Rice
Angus House
Ann Le Xiang Rojak
Annalakshmi
Annalakshmi Janatha
Apollo Grilled Western Food
Apolo Bistro
Aranda Lounge
Aravind's Curry
Arcadia Restaurant
Aria Roof Bar
Arifin Ali Indian Muslim Food
Arirang Korean Restaurant
Aromas Of India
Aroy Dee Thai Kitchen
Arsh
Artease
Arteastiq
Arteastiq Cafe
As-shifaa Cafe
Asalam Teh Tarik Corner
Ash & Elm
Ash Shalihin Indonesian Nasi Padang
Asia Grand Restaurant
Asian Market Cafe
Asmah Muslim Food
Assalamualaikum Batcha Stall
Aster Pau
Astons Express
Astons Specialities
Atrium Restaurant
Aunty Oats Pancake
Ayam Bakar Ojolali
Ayam Penyet President
Ayam Penyet Ria
Azizi Muslim Food
Azmaya
Azmaya Honten
Azur
BBQ Seafood Kitchen
Babalicious
Babas Peranakan
Bachmann Japanese Restaurant
Bacon & Booze
Bahrakath Mutton Soup King
Bai Li Cooked Food
Baikohken
Balestier Bak Kut Teh
Bali Nasi Lemak
Bali Thai
Ban Chuan Duck Rice
Ban Seng Choon Cooked Food
Bangkok Express
Banh Mi 888
Bao Today
Bar Ippudo
Bar Toast
Bar at Tanjong Katong
Barossa
Bayang
Bazuka Yakibuta
Bean Here
Beanstro
Beast & Butterflies
Beaulieu House
Bebek Goreng Pak Ndut
Bedok 85 Minced Meat Noodle
Bedok Chwee Kueh
Bedok Cooked Food
Bedok North 85 Fried Oyster
Bedok North 85 Minced Meat Noodle
Bedok South Niu Ji Prawn Noodles
Bedok Soya Bean Drink
Bee Heng Popiah
Bee Kee Fried Carrot Cake Fried Kway Teow
Bee Kia Restaurant
Bee Lock Ting Fish Ball Noodle
Beef Yakiniku Dining Yakiniquest
Beijing Gong Restaurant
Beijing Neng Ren Ju
Beijing Steamboat
Belirub
Belly Steamboat Restaurant
Belly View Cafe
Ben's Cookies
Beni
Beo Crescent Hainanese Curry Rice
Bi Bi Bean
Bibi Kitchen Nasi Lemak
Bibigo
Big Lazy Chop
Big Mama
Bikaner Express
Billy Bombers
Bimi Kaiho
Bishamon
Bismillah Biryani
Bismillah Muslim Food Stall
Bismillahirahmanirahim
Blackball
Blanco Court Garden Street Kway Chap
Blanco Court Kway Chap
Blanco Prawn Noodle House
Bless Kitchen Seafood
Blossom Garden Restaurant
Blue Bistro SG Cafe
Blue Star Fried Hokkien Mee
Bluestar Islamic Banana Leaf Restaurant
Boneless Hainanese Chicken Rice
Boombastic Penyet
Boon Hian Cooked Food
Boon Hiang Fishball Tung Hoon
Boon Kee
Boon Keng Food Stall
Boon Lay Mee Goreng
Boon Tat Street BBQ Seafood
Boon Tong Kee
Bornga
Borobudur Snacks Shop
Botan Japanese Restaurant
Box N Sticks
Bq Bar
Brazil Churrasco
Breakthrough Cafe
Brew Maison
Brinda's
Brothers Ramen
Buffet Town
Bukit Batok Village Eating House
Bukit Merah View Carrot Cake
Buta Kin
Buta Ramen
Cafe & Meal Muji
Cafe 2000
Cafe 820
Cafe Crema
Cafe Daily Bread
Cafe Mosaic
Cafe O
Cafe Ole
Cafe Print
Cafe Red Ginger
Cafeela Seafood Restaurant
Cahaya Nasi Padang
Canton Paradise
Cantonese Seng Kee Wanton Noodle
Capital Restaurant
Caprilicious
Captain K Seafood Tower
Caramel Cafe
Carousel
Cassia
Cedele
Central Hong Kong Cafe
Century Village Eating House
Chabuton
Chai Chee Beng Huat
Chai Chee Kway Chap
Chai Chee Pork Porridge
Chai Chee Seafood
Chai Ji
Chai Kee Prawn Noodle
Chalk Farm
Chandra Banana Leaf
Chang Cheng
Chang Cheng Mee Wah
Chang Le Vegetarian Food
Chang Sheng Western Food
Changi Lorong 108 Fei Lao Seafood
Changi Village Cooked Food
Chao Shan Cuisine
Chao Xiang Cooked Food
Chao Zhou Fishball Noodles
Char Grill Bar
Charcoal Thai
Charles & Pang
Chat Masala
Chatterbox
Chef Hainanese Western Food
Chef Heng
Chef Kang's
Chef's Hats
Chen Fu Ji Noodle House
Cheng Kee Beef Kway Teow
Cheng Li Yuan
Chennai Arya Restaurants
Cheok Kee Boneless Braised Duck
Cherry Garden
Chew Ting Siow
Chicago Nasi Lemak
Chicken Clinic
Chicken Hotpot
Chicken House
Chicken Legend
Chicken Rice
Chicken Run
Chicken Talk Kitchen
Chicken Up
Chieh Teochew Porridge
Chikuwa Tei
Chikuyo Japanese Cuisine
Chikuyotei
Chillas
Chin Heng Dessert
Chin Huat Live Seafood
